COMP,x,y,band1,band2,band3,band4,ndvi,N_Actual,P_Actual,K_Actual
GBSM,286,265,267,439,309,3732,0.8664666167,2.45,0.18,1.03
GBSM,285,365,256,411,286,3585,0.8667013798,2.60,0.17,1.12
GBSM,285,331,262,451,298,3554,0.8626834382,2.41,0.17,1.18
GBSM,284,318,288,470,300,3378,0.8428805237,2.56,0.16,1.25
GBSM,284,265,269,443,308,3677,0.8636594019,2.48,0.18,1.16
GBSM,283,222,241,419,285,3577,0.8737558931,2.36,0.16,1.30
GBSM,283,223,240,416,292,3493,0.8714170908,2.29,0.16,0.96
GBSM,282,192,274,434,293,3354,0.848952591,2.32,0.17,1.29
GBSM,280,192,336,473,319,2898,0.7922077922,2.44,0.16,1.23
GBSM,536,788,243,435,290,3370,0.8654857459,2.65,0.18,1.22
GBSM,510,742,297,423,313,2890,0.8136178224,2.59,0.12,1.08
GBSM,508,763,280,414,298,2927,0.8253819769,2.77,0.17,0.86
GBSM,505,736,285,423,310,2750,0.8121911038,2.22,0.12,0.60
GBSM,499,836,232,416,269,3305,0.8688153803,2.49,0.16,1.14
GBSM,499,595,377,546,348,3309,0.7954422138,2.84,0.16,1.20
GBSM,497,606,388,514,357,3255,0.7869887455,2.58,0.16,1.10
GBSM,497,595,361,527,346,3406,0.8083355455,2.69,0.16,1.47
GBSM,497,601,483,565,423,3109,0.7310690423,2.68,0.15,0.94
GBSM,497,604,364,575,345,3333,0.8030835813,2.88,0.17,0.94
GBSM,496,616,323,463,318,3149,0.8139400922,2.97,0.15,1.20
GBSM,496,621,298,489,314,3171,0.8281925627,2.60,0.18,1.07
GBSM,496,626,380,488,339,3170,0.785915493,2.17,0.15,1.17
GBSM,496,611,386,515,351,2925,0.7668378133,2.43,0.15,1.36
GBSM,496,600,477,579,416,3111,0.7341137124,2.63,0.15,0.86
GBSM,496,593,392,549,358,3405,0.7935212009,2.49,0.14,1.08
GBSM,495,624,293,474,325,3372,0.8401091405,2.28,0.17,1.09
GBSM,494,611,354,485,336,3047,0.7918259335,2.53,0.15,1.48
GBSM,494,621,325,478,336,3119,0.8112659698,2.24,0.17,1.03
GBSM,494,616,307,437,319,2967,0.8124618204,2.82,0.14,1.00
GBSM,494,603,460,610,394,3078,0.7399660825,2.77,0.18,0.96
GBSM,494,598,423,527,374,3078,0.7583547558,2.71,0.16,1.00
